experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,1.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
weight_sweep,2.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,2.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,2.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,2.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
weight_sweep,5.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,5.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,5.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,5.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
weight_sweep,10.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,10.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,10.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,10.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
weight_sweep,20.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,20.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,20.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,20.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
weight_sweep,40.0,Full,1,15,1.0,1.0,1.0,1.0,500,0.7,40.0,0.963111111111111,0.0,0.0,0.0,505.0355651259259,0.0,0.0,0.0,0.047555555555555566,1925637.4082877436,855.8388481278861,0.0,0.0,0.0,0.9524444444444444,0.008444444444444444,0.010666666666666666,0.007555555555555556,0.020888888888888887
weight_sweep,40.0,Full,2,15,1.0,1.0,1.0,1.0,500,0.7,40.0,0.9462222222222222,0.0,0.0,0.0,502.3319461718518,0.0,0.0,0.0,0.06622222222222218,1522914.0185227317,676.8506748989919,0.0,0.0,0.0,0.9337777777777778,0.013777777777777778,0.017333333333333333,0.011111111111111112,0.024
